id;filme;ano;nota;votos;diretor
196;A Mulher Faz o Homem;1939;8.1;116630;Frank Capra
197;Mad Max: Estrada da Fúria;2015;8.1;1014485;George Miller
198;O Sétimo Selo;1957;8.1;187547;Ingmar Bergman
199;Mary e Max: Uma Amizade Diferente;2009;8.1;179156;Adam Elliot
200;Como Treinar o Seu Dragão;2010;8.1;749201;Dean DeBlois
201;O Quarto de Jack;2015;8.1;426046;Lenny Abrahamson
202;Monstros S.A.;2001;8.1;918808;Pete Docter
203;Tubarão;1975;8.1;614484;Steven Spielberg
204;Sociedade dos Poetas Mortos;1989;8.1;499671;Peter Weir
205;O Grande Lebowski;1998;8.1;816686;Joel Coen
206;Era uma Vez em Tóquio;1953;8.1;63007;Yasujirô Ozu
207;O Martírio de Joana D'Arc;1928;8.1;56260;Carl Theodor Dreyer
208;Hotel Ruanda;2004;8.0;358988;Terry George
209;Ford vs Ferrari;2019;8.0;404442;James Mangold
210;Rocky: Um Lutador;1976;8.0;585299;John G. Avildsen
211;Platoon;1986;8.0;418673;Oliver Stone
212;Ratatouille;2007;8.0;749777;Brad Bird
213;Spotlight: Segredos Revelados;2015;8.0;475581;Tom McCarthy
214;O Exterminador do Futuro;1984;8.0;874406;James Cameron
215;Logan;2017;8.0;773635;James Mangold
216;Conta Comigo;1986;8.0;409897;Rob Reiner
217;Rush: No Limite da Emoção;2013;8.0;485256;Ron Howard
218;Rede de Intrigas;1976;8.0;161561;Sidney Lumet
219;Antes do Pôr-do-Sol;2004;8.0;269115;Richard Linklater
220;Na Natureza Selvagem;2007;8.0;628929;Sean Penn
221;O Mágico de Oz;1939;8.0;405335;Victor Fleming
222;A Canção da Estrada;1955;8.0;34164;Satyajit Ray
223;Feitiço do Tempo;1993;8.0;641590;Harold Ramis
224;Os Melhores Anos de Nossa Vida;1946;8.0;66036;William Wyler
225;O Exorcista;1973;8.0;414389;William Friedkin
226;Ser ou Não Ser;1942;8.0;38718;Ernst Lubitsch
227;Os Incríveis;2004;8.0;748106;Brad Bird
228;O Ódio;1995;8.0;177616;Mathieu Kassovitz
